year,idgrade,nla_code,countrycode,nonprof_all,nonprof_fe,nonprof_ma
2013,6,AFG_2,AFG,88,,
2016,4,CHN,CHN,18.200001,,
2015,5,BGD_2,BGD,55,,
2017,5,BGD_3,BGD,56,,
2017,5,IND_4,IND,53.700001,53,55
2014,6,UGA_2,UGA,81.099998,,
2014,4,PAK_3,PAK,65,62,70
2015,4,LKA_3,LKA,14,,
2011,5,VNM_1,VNM,1.08,,
2015,4,ETH_3,ETH,88.720001,,
2011,5,COD,COD,62.019001,,
2013,6,KHM_1,KHM,49.799999,,
2017,6,MYS_1,MYS,11.7,,
2016,5,ALB_1,ALB,4.9000001,,
2014,4,KGZ_1,KGZ,63.799999,,
2016,6,GHA_1,GHA,28,,
2015,5,MDG_1,MDG,95.800003,,
2012,5,MLI_1,MLI,85.739998,84.550003,86.860001
2013,6,HND_1,HND,69.400002,,
2016,6,GHA,GHA,84,,
2016,6,LSO,LSO,96.599998,,
2014,6,NPL,NPL,96.599998,,
2019,4,PAK_4,PAK,70,68,71
2022,5,BGD_4,BGD,50,48,53
2023,6,KEN_1,KEN,74.5,72.800003,76.099998
